SalesOrderNumber|SurveyResponse
SO67316|Very excited to user our new equipment and apparel.   We will definitely be back again and Jillian was extremely helpful.   I had some confusion on how to get the Minipump to work.  I got it working with Mens bikes but wasn't sure if it fit the valve for the Women's wheels.   The Half-finger gloves are great by the way.   No more blisters on our long rides.   Thanks again!
SO69393|So I just got my order today, thansk for the quick shipping...The HL Mountain Pedals are really sharp, I actually cut my finer taking them out of the box... if they tear through my shoes will you guys pay for a new pair?  My bike shoes are expensive and I really don't want to reck them on those pedals.. thoughts?
SO69417|
SO69442|Jilian was very helpful.  We had a pretty large and diverse order which ranged from 18 road bikes to a single cable lock, but Jilian did an excellent job putting up with us and tracking down what we needed.  We're opening our new shop this weekend! (The lock was actually for my daughter.  Shhh, don't tell anybody.)
SO69454|I had a long discussion with the rep about steel-vs-carbon frames. I came in a carbon skeptic, and walked out a lot less so.
SO69462|Jillian was able to get me totally kitted out to tackle the gnarliest mountain roads on the west coast; she was able to explain the difference in carbon frame manufacturing and walk me through the pros and cons of the Bellesi aluminium SIMO Road-250 versus the Battaglin Road-650 the monocoque fork and HL Road Handlebars.  After we settled on a great bike, she hooked me up with some really cool Perl Izumi women's tights (it gets cold in the mountains!).  I even got a cool set of Men's Bib-Shorts for my dad! I’m confident I’ll rock Tahoe Stage of the Amgen Tour of California ride this summer! 
SO69464|After speaking with Michael Blythe, I was excited to get my parts especially since he promised they would arrive in 2 days.  The parts ended up taking over a week to arrive and were not at all what I expected.  I am very disappointed and would not order from AdventureWorks again.  If you want good parts that arrive on-time, don't order from this website.
SO69475|Rachel was patient while I tried out all the different saddles.  Not knowing much about saddles, I wanted to make sure I test them all.  Rachel guided me throughout and provided knowledgeable advice.  One word of criticism: it would be nice if you included FedEx among your shipping options.
SO71833|Bill helped me as much as he could but we were unable to figure out why the rear wheel I bought did not fit my frame.
SO71902|I am very happy with all of the bike frames I purchased.  The Touring 3000 is especially good for hill climbs, so I'm pleased that our rep Tete recommended we try this frame has we hadn't bought one before and it is performing well.  Our only disappointment was that we ordered the HL Touring Seat/Saddle in blue and it arrived in fushia, which didn't suit the young man it was ordered for and had to be returned.
SO71952|Good pedals at a great price.  Also, good selection of socks.  But do not buy tubes from here--they sell patched tubes as new!
